city,x,y
Peja,-250,100
Istogu,-170,150
Zubin Potoku,-110,230
Zvecani,-50,260
Leposaviqi,-45,330
Podujeva,100,220
Prishtina,150,100
Kamenica,290,50
Ranilluga,270,0
Gjilani,230,-35
Parteshi,230,-58
Vitia,170,-100
Kllokoti,190,-85
Kacaniku,120,-140
Hani Elezit,140,-200
Shterpca,50,-145
Prizreni,-90,-145
Dragashi,-90,-250
Gjakova,-200,-70
Juniku,-250,-15
Decani,-250,20
Mitrovica,25,250
Skenderaji,-60,130
Klina,-120,60
Vushtria,30,160
Obiliqi,60,100
Fushe Kosova,60,60
Drenasi,-10,60
Malisheva,-60,0
Rahoveci,-120,-50
Mamusha,-70,-100
Suhareka,-20,-70
Shtime,50,-40
Lipjani,50,10
Gracanica,110,40
Ferizaji,100,-60
Novoberda,215,40
